0.000345987 0.000470628 9.88131e-324 3760.7 1.36002e-05 | 145 2
0.000633134 0.000574117 9.88131e-324 3693.29 1.61169e-05 | 146 2
0.000623868 0.000551633 9.88131e-324 3692.01 1.86256e-05 | 147 2
0.000291998 0.00028978 9.88131e-324 3807.17 1.4995e-05 | 148 2
0.000730317 0.000112961 9.88131e-324 3576.2 2.19971e-05 | 149 2
0.000352524 0.000292459 9.88131e-324 3791.07 8.28557e-06 | 150 2
0.000472831 0.000160938 9.88131e-324 3672.3 1.21703e-05 | 151 2
0.000419357 0.0001771 9.88131e-324 3690 1.99379e-05 | 152 2
0.00118383 0.000303034 9.88131e-324 3152.06 1.18936e-05 | 153 2
0.000726208 0.000520793 9.88131e-324 3690.36 1.85361e-05 | 154 2
0.000657144 0.000311725 9.88131e-324 3642.29 1.82118e-06 | 155 2
0.000303168 0.000246537 9.88131e-324 3780.7 3.17831e-06 | 156 2
0.000539104 0.000386215 9.88131e-324 3647.68 1.02267e-05 | 157 2
0.000152972 0.00126864 9.88131e-324 4208.52 2.37502e-05 | 158 2
0.000526232 7.3961e-05 9.88131e-324 3674.43 1.60969e-05 | 159 2
0.000710658 0.000158916 9.88131e-324 3607.45 7.80107e-06 | 160 2
0.00052951 0.000254375 9.88131e-324 3673.12 3.03137e-06 | 161 2
0.000707838 0.000177259 9.88131e-324 3599.52 1.19125e-05 | 162 2
2.38363e-05 0.000337213 0 7132.02 3.82329e-06 | 163 0
0.00040726 0.00070799 9.88131e-324 3723.03 9.83158e-06 | 164 2
0.000291466 6.40454e-05 9.88131e-324 3681.33 1.48544e-05 | 165 2
0.00122363 0.000108078 9.88131e-324 1717.3 1.10011e-05 | 166 2
0.00113721 0.000627025 9.88131e-324 3366.38 2.28719e-06 | 167 2
0.000617571 0.000178722 9.88131e-324 3668.25 1.83138e-05 | 168 2
0.000788058 0.00121177 9.88131e-324 4027.2 9.71641e-06 | 169 2
0.000936935 3.64521e-05 9.88131e-324 3413.77 7.89982e-06 | 170 2
0.000511521 0.000308314 9.88131e-324 3684.36 1.36383e-05 | 171 2
0.00109035 0.00014955 9.88131e-324 2178.18 1.01787e-05 | 172 2
0.000522131 0.000214259 9.88131e-324 3672.4 2.81137e-05 | 173 2
